Team,League,Roster ID,Default Image,Division Name
Middle Tennessee State,NCAA USA,7,https://1000logos.net/wp-content/uploads/2021/07/Middle-Tennessee-Blue-Raiders-logo.png,Twister
Minnesota,NCAA BIG 10,7,https://1000logos.net/wp-content/uploads/2021/07/Minnesota-Golden-Gophers-logo.png,West
Mississippi State,NCAA SEC,6,https://1000logos.net/wp-content/uploads/2021/07/Mississippi-State-Bulldogs-logo.png,West
Mississippi Valley State,NCAA HISTORICALLY BLACK,7,https://1000logos.net/wp-content/uploads/2021/07/MVSU-Delta-Devils-logo.png,Mississippi River
Missouri,NCAA BIG 12,3,https://1000logos.net/wp-content/uploads/2021/07/Missouri-Tigers-logo.png,Wind
Monmouth,NCAA OHIO VALLEY,10,https://1000logos.net/wp-content/uploads/2021/07/Monmouth-Hawks-logo.png,Yankee
Montana,NCAA WILD,1,https://1000logos.net/wp-content/uploads/2021/07/Montana-Grizzliesl-logo.png,Plains
Montana State,NCAA BIG SKY,6,https://1000logos.net/wp-content/uploads/2021/07/Montana-State-Bobcats-logo.png,Frontier
Morehead State,NCAA OHIO VALLEY,8,https://1000logos.net/wp-content/uploads/2021/07/Morehead-State-Eagles-logo.png,Yankee
Murray State,NCAA PIONEER,3,https://1000logos.net/wp-content/uploads/2021/07/Murray-State-Racers-logo.png,Patriot
Navy,NCAA BIG EAST & CO.,11,https://1000logos.net/wp-content/uploads/2022/02/Navy-Midshipmen-logo.png,Northeast
NC State,NCAA ACC,10,https://1000logos.net/wp-content/uploads/2019/11/North-Carolina-State-Wolfpack-Logo.png,Atlantic
Nebraska,NCAA BIG 10,2,https://1000logos.net/wp-content/uploads/2021/07/Nebraska-Cornhuskers-logo.png,West
Nevada,NCAA MOUNTAIN WEST,10,https://1000logos.net/wp-content/uploads/2021/07/Nevada-Wolf-Pack-logo.png,Sin
New Mexico,NCAA MOUNTAIN WEST,9,https://1000logos.net/wp-content/uploads/2022/02/New-Mexico-Lobos-logo.png,Saint
North Alabama,NCAA OHIO VALLEY,11,https://1000logos.net/wp-content/uploads/2019/11/North-Alabama-Lions-logo.png,Yankee
North Carolina,NCAA ACC,2,https://seeklogo.com/images/U/unc-tar-heels-logo-B3ABC215A0-seeklogo.com.png,Coastal
North Carolina A&T,NCAA HISTORICALLY BLACK,1,https://1000logos.net/wp-content/uploads/2019/09/North-Carolina-AT-Aggies-Logo.png,Hurricane
North Carolina Central,NCAA OHIO VALLEY,12,https://1000logos.net/wp-content/uploads/2021/07/NCCU-Eagles-logo.png,Southern
North Dakota State,NCAA WILD,3,https://1000logos.net/wp-content/uploads/2021/07/North-Dakota-State-Bison-logo.png,Plains
North Texas,NCAA USA,2,https://1000logos.net/wp-content/uploads/2021/07/North-Texas-Mean-Green-logo.png,Gulf
Northern Iowa,NCAA BIG SKY,10,https://1000logos.net/wp-content/uploads/2021/07/Northern-Iowa-Panthers-logo.png,Colonies
Northwestern,NCAA BIG 10,3,https://1000logos.net/wp-content/uploads/2021/07/Northwestern-Wildcats-Logo.png,West
Notre Dame,NCAA BIG EAST & CO.,12,https://1000logos.net/wp-content/uploads/2018/02/Notre-Dame-Leprechaun-Logo.png,Mideast
Ohio State,NCAA BIG 10,9,https://1000logos.net/wp-content/uploads/2024/09/Ohio-State-Buckeyes-Logo.png,East
Oklahoma,NCAA BIG 12,9,https://1000logos.net/wp-content/uploads/2021/07/Oklahoma-Sooners-logo.png,Wind
Oklahoma State,NCAA BIG 12,12,https://1000logos.net/wp-content/uploads/2021/07/Oklahoma-State-Cowboys-logo.png,Wind
Old Dominion,NCAA WILD,10,https://1000logos.net/wp-content/uploads/2021/07/Old-Dominion-Monarchs-logo.png,Valley
Ole Miss,NCAA SEC,5,https://1000logos.net/wp-content/uploads/2021/07/Mississippi-Rebels-logo.png,West
Oregon,NCAA PAC 12,9,https://1000logos.net/wp-content/uploads/2021/07/Oregon-Ducks-logo.png,North
Oregon State,NCAA PAC 12,3,https://1000logos.net/wp-content/uploads/2021/07/Oregon-State-Beavers-logo.png,North
Penn,NCAA IVY,7,https://1000logos.net/wp-content/uploads/2021/07/Penn-Quakers-logo.png,Rich
Penn State,NCAA BIG 10,5,https://1000logos.net/wp-content/uploads/2021/07/Penn-State-Nittany-Lions-logo.png,East
Pittsburgh,NCAA BIG EAST & CO.,4,https://1000logos.net/wp-content/uploads/2021/07/Pittsburgh-Panthers-logo.png,Mideast
Portland State,NCAA BIG SKY,8,https://1000logos.net/wp-content/uploads/2021/07/Portland-State-Vikings-logo.png,Frontier
Princeton,NCAA IVY,10,https://1000logos.net/wp-content/uploads/2021/07/Princeton-Tigers-logo.png,Smart
Purdue,NCAA BIG 10,1,https://1000logos.net/wp-content/uploads/2024/05/Purdue-Boilermakers-Logo.png,East
Rhode Island,NCAA BIG SKY,1,https://1000logos.net/wp-content/uploads/2021/07/Rhode-Island-Rams-logo.png,Colonies
Rice,NCAA SUN BELT,4,https://1000logos.net/wp-content/uploads/2021/07/Rice-Owls-logo.png,Rebel
Richmond,NCAA BIG SKY,7,https://1000logos.net/wp-content/uploads/2021/07/Richmond-Spiders-logo.png,Colonies
Rutgers,NCAA BIG EAST & CO.,1,https://1000logos.net/wp-content/uploads/2019/11/Rutgers-Scarlet-Knights-Logo.png,Northeast
San Diego State,NCAA MOUNTAIN WEST,12,https://1000logos.net/wp-content/uploads/2021/07/San-Diego-State-Aztecs-logo.png,Sin
San Jose State,NCAA WILD,7,https://1000logos.net/wp-content/uploads/2021/07/San-Jose-State-Spartans-logo.png,Plains
SE Missouri State,NCAA PIONEER,6,https://1000logos.net/wp-content/uploads/2022/02/SEMO-Redhawks-logo.png,Patriot
South Alabama,NCAA USA,4,https://1000logos.net/wp-content/uploads/2021/07/South-Alabama-Jaguars-logo.png,Gulf
South Carolina,NCAA SEC,10,https://1000logos.net/wp-content/uploads/2021/07/South-Carolina-Gamecocks-logo.png,East
South Dakota,NCAA WILD,11,https://content.sportslogos.net/logos/34/5037/full/south_dakota_coyotes_logo_primary_20123201.png,Plains
South Dakota State,NCAA BIG EAST & CO.,3,https://1000logos.net/wp-content/uploads/2019/10/South-Dakota-State-Jackrabbits-Logo-500x281.png,Mideast
Southern,NCAA HISTORICALLY BLACK,4,https://1000logos.net/wp-content/uploads/2021/07/Southern-Jaguar-logo.png,Mississippi River
Southern Miss,NCAA SUN BELT,9,https://1000logos.net/wp-content/uploads/2021/07/Southern-Miss-Golden-Eagles-logo.png,Bible
Stanford,NCAA PAC 12,5,https://1000logos.net/wp-content/uploads/2021/07/Stanford-Cardinal-logo.png,North
Stony Brook,NCAA BIG SKY,5,https://1000logos.net/wp-content/uploads/2021/07/Stony-Brook-Seawolves-logo.png,Colonies
Syracuse,NCAA BIG EAST & CO.,7,https://1000logos.net/wp-content/uploads/2021/07/Syracuse-Orange-logo.png,Northeast
TCU,NCAA BIG 12,11,https://1000logos.net/wp-content/uploads/2020/02/TCU-Horned-Frogs-logo.png,Heat
Temple,NCAA SUN BELT,1,https://1000logos.net/wp-content/uploads/2022/02/Temple-Owls-logo.png,Rebel
Tennessee,NCAA SEC,3,https://1000logos.net/wp-content/uploads/2021/07/Tennessee-Volunteers-logo.png,East
Tennessee State,NCAA PIONEER,5,https://1000logos.net/wp-content/uploads/2022/02/Tennessee-State-Tigers-logo.png,Patriot
Texas,NCAA BIG 12,6,https://1000logos.net/wp-content/uploads/2021/07/Texas-Longhorns-logo.png,Heat
Texas A&M,NCAA BIG 12,4,https://1000logos.net/wp-content/uploads/2022/02/Texas-AM-Aggies-logo.png,Heat
Texas State,NCAA USA,9,https://1000logos.net/wp-content/uploads/2021/07/Texas-State-Bobcats-logo.png,Gulf
Texas Tech,NCAA BIG 12,1,https://1000logos.net/wp-content/uploads/2021/07/Texas-Tech-Red-Raiders-logo.png,Heat
Troy,NCAA USA,1,https://1000logos.net/wp-content/uploads/2022/02/Troy-Trojans-logo.png,Twister
Tulane,NCAA SUN BELT,3,https://1000logos.net/wp-content/uploads/2021/07/Tulane-Green-Wave-logo.png,Bible
Tulsa,NCAA SUN BELT,6,https://1000logos.net/wp-content/uploads/2022/02/Tulsa-Golden-Hurricane-logo.png,Rebel
Tuskegee,NCAA HISTORICALLY BLACK,11,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Tuskegee_Golden_Tigers_logo.svg/219px-Tuskegee_Golden_Tigers_logo.svg.png,Mississippi River
UAB,NCAA SUN BELT,10,https://1000logos.net/wp-content/uploads/2021/07/UAB-Blazers-logo.png,Bible
UCF,NCAA BIG EAST & CO.,9,https://1000logos.net/wp-content/uploads/2022/03/Central-Florida-Knights-Logo.png,Mideast
UCLA,NCAA PAC 12,12,https://1000logos.net/wp-content/uploads/2017/11/UCLA-Logo.png,South
UCONN,NCAA BIG EAST & CO.,5,https://1000logos.net/wp-content/uploads/2017/08/uconn-huskies-logo.png,Northeast
UNC Charlotte,NCAA WILD,12,https://1000logos.net/wp-content/uploads/2022/04/Charlotte-49ers-Logo.png,Valley
UNLV,NCAA MOUNTAIN WEST,11,https://1000logos.net/wp-content/uploads/2021/07/UNLV-Rebels-logo.png,Saint
USC,NCAA PAC 12,2,https://1000logos.net/wp-content/uploads/2022/02/Southern-California-Trojans-logo.png,South
USF,NCAA BIG EAST & CO.,10,https://1000logos.net/wp-content/uploads/2020/02/South-Florida-Bulls-Logo.png,Mideast
UT Martin,NCAA PIONEER,11,https://1000logos.net/wp-content/uploads/2021/07/Tennessee-Martin-Skyhawks-logo.png,Patriot
Utah,NCAA PAC 12,11,https://1000logos.net/wp-content/uploads/2021/07/Utah-Utes-logo.png,South
Utah State,NCAA MOUNTAIN WEST,5,https://1000logos.net/wp-content/uploads/2022/02/Utah-State-Aggies-logo.png,Saint
UTEP,NCAA SUN BELT,2,https://1000logos.net/wp-content/uploads/2021/07/UTEP-Miners-logo.png,Rebel
