LeagueID,LeagueName,DraftID,Round,Pick_No,OverallPick,Picked_By,RosterID,PlayerID,FirstName,LastName,Team,Position,Status,YearsExp
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,85,169,638193564806897664,11,3969,Leonard,Fournette,TB,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,86,170,594242128851296256,10,6849,Denzel,Mims,NYJ,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,87,171,594242128851296256,10,5857,Noah,Fant,DEN,TE,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,88,172,331558449374593024,6,2315,Todd,Gurley,ATL,RB,Active,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,89,173,571753677428977664,1,1049,Ryan,Tannehill,TEN,QB,Active,8
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,90,174,635700695584043008,7,3214,Hunter,Henry,LAC,TE,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,91,175,327689364916146176,12,2391,David,Johnson,HOU,RB,Active,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,92,176,472879969664495616,4,5347,Nyheim,Hines,IND,RB,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,93,177,468944645166985216,3,5872,Deebo,Samuel,SF,WR,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,94,178,69768813763510272,8,4993,Mike,Gesicki,MIA,TE,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,95,179,601198801197260800,2,4039,Cooper,Kupp,LAR,WR,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,8,96,180,347683464398749696,9,3423,Robby,Anderson,CAR,WR,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,97,193,347683464398749696,9,421,Matthew,Stafford,DET,QB,Active,11
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,98,194,327689364916146176,12,4137,James,Conner,PIT,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,99,195,69768813763510272,8,4892,Baker,Mayfield,CLE,QB,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,100,196,468944645166985216,3,6798,Jalen,Reagor,PHI,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,101,197,474662041341128704,5,6126,Irv,Smith,MIN,TE,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,102,198,601198801197260800,2,2749,Raheem,Mostert,SF,RB,Injured Reserve,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,103,199,635700695584043008,7,2197,Brandin,Cooks,HOU,WR,Active,6
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,104,200,571753677428977664,1,4144,Jonnu,Smith,TEN,TE,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,105,201,331558449374593024,6,4082,Curtis,Samuel,CAR,WR,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,106,202,594242128851296256,10,6130,Devin,Singletary,BUF,RB,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,107,203,472879969664495616,4,5022,Dallas,Goedert,PHI,TE,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,9,108,204,638193564806897664,11,5890,Damien,Harris,NE,RB,Injured Reserve,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,109,217,638193564806897664,11,6826,Cole,Kmet,CHI,TE,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,110,218,472879969664495616,4,4666,Younghoe,Koo,ATL,K,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,111,219,594242128851296256,10,4602,Robert,Tonyan,GB,TE,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,112,220,331558449374593024,6,5000,Chase,Edmonds,ARI,RB,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,113,221,571753677428977664,1,4036,Corey,Davis,TEN,WR,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,114,222,635700695584043008,7,1408,Le'Veon,Bell,KC,RB,Active,7
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,115,223,601198801197260800,2,4149,Jamaal,Williams,GB,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,116,224,474662041341128704,5,1825,Jarvis,Landry,CLE,WR,Active,6
