player_id,first_name,last_name,position,status,team
7562,Tutu,Atwell,WR,Inactive,LAR
7149,Tommy,Stevens,TE,Active,NYG
8132,Tyler,Allgeier,RB,Active,ATL
12523,Jimmy,Horn,WR,Active,CAR
8254,Julius,Chestnut,RB,Active,TEN
5288,Donnie,Ernsberger,TE,Inactive,TEN
8107,Nikola,Kalinic,TE,Active,CHI
12489,RJ,Harvey,RB,Active,DEN
8157,Bailey,Zappe,QB,Active,CLE
8223,Velus,Jones,WR,Active,SEA
7535,Hunter,Long,TE,Active,JAX
12482,Savion,Williams,WR,Active,GB
8088,Kalif,Jackson,TE,Active,MIA
11384,Owen,Wright,RB,Active,TB
11959,Bryce,Oliver,WR,Active,TEN
11511,John,Stephens,TE,Inactive,DAL
8253,Deven,Thompkins,WR,Active,ATL
11964,Dayton,Wade,WR,Inactive,BAL
8861,Irvin,Charles,WR,Active,NYJ
4351,Tim,Patrick,WR,Active,JAX
9220,Evan,Hull,RB,Active,NO
11596,Ben,Sinnott,TE,Active,WAS
1706,Jack,Doyle,TE,Active,IND
3198,Derrick,Henry,RB,Active,BAL
4926,Nick,Schuessler,QB,Active,PIT
12522,Cam,Ward,QB,Active,TEN
8143,Jerome,Ford,RB,Active,CLE
6694,D'Ernest,Johnson,RB,Active,NE
12496,Tai,Felton,WR,Active,MIN
12656,Robbie,Ouzts,RB,Inactive,SEA
6847,Devin,Duvernay,WR,Active,CHI
2750,DeAndre,Carter,WR,Inactive,CLE
9493,Puka,Nacua,WR,Active,LAR
10226,Andrei,Iosivas,WR,Active,CIN
13116,Tre,Watson,TE,Active,KC
6996,JaMycal,Hasty,RB,Active,MIA
12765,Keleki,Latu,TE,Active,BUF
11617,Malachi,Corley,WR,Active,CLE
TB,Tampa Bay,Buccaneers,DEF,,TB
4981,Calvin,Ridley,WR,Active,TEN
4171,Josh,Reynolds,WR,Inactive,NYJ
7946,Jack,Stoll,TE,Active,NO
10224,Brayden,Willis,TE,Active,SF
8160,Kenny,Pickett,QB,Active,LV
9479,Darnell,Washington,TE,Active,PIT
11577,Will,Shipley,RB,Active,PHI
12540,Chimere,Dike,WR,Active,TEN
CLE,Cleveland,Browns,DEF,,CLE
5859,A.J.,Brown,WR,Active,PHI
4034,Christian,McCaffrey,RB,Active,SF
6699,Gunner,Olszewski,WR,Active,NYG
4263,Elijah,McGuire,RB,Active,KC
11940,JaQuae,Jackson,WR,Active,LAC
7591,Justin,Fields,QB,Active,NYJ
5134,Keith,Kirkwood,WR,Active,BAL
4866,Saquon,Barkley,RB,Active,PHI
13217,Hunter,Dekkers,QB,Active,NO
8170,James,Mitchell,TE,Active,CAR
13110,Zach,Horton,TE,Active,DET
5119,Jason,Sanders,K,Inactive,MIA
5967,Tony,Pollard,RB,Active,TEN
8076,Michael,Bandy,WR,Active,DEN
12756,Stephen,Gosnell,WR,Active,BUF
12048,George,Holani,RB,Active,SEA
10217,Clayton,Tune,QB,Active,GB
12888,Dalen,Cambre,WR,Active,NYG
12641,Jaylin,Lane,WR,Active,WAS
10213,Tre,Tucker,WR,Active,LV
8130,Trey,McBride,TE,Active,ARI
7536,Quintin,Morris,TE,Active,JAX
8142,Alec,Pierce,WR,Active,IND
6964,Sean,McKeon,TE,Active,IND
11648,Kedon,Slovis,QB,Active,ARI
3214,Hunter,Henry,TE,Active,NE
3976,Mitchell,Trubisky,QB,Active,BUF
7523,Trevor,Lawrence,QB,Active,JAX
12508,Jaxson,Dart,QB,Active,NYG
4066,Evan,Engram,TE,Active,DEN
12533,Jacory,Croskey-Merritt,RB,Active,WAS
3048,Chris,Manhertz,TE,Active,NYG
5903,Will,Grier,QB,Active,DAL
6945,Antonio,Gibson,RB,Inactive,NE
12787,Josh,Williams,RB,Active,TB
17,Matt,Prater,K,Active,BUF
8227,Teagan,Quitoriano,TE,Active,ATL
11565,J.J.,McCarthy,QB,Active,MIN
11859,John Rhys,Plumlee,QB,Active,PIT
8220,Sincere,McCormick,RB,Active,SF
8676,Rashid,Shaheed,WR,Active,NO
6271,Olamide,Zaccheaus,WR,Active,CHI
6866,KJ,Hill,WR,Active,LAC
11792,Will,Reichard,K,Active,MIN
6920,Isaiah,Hodgins,WR,Active,PIT
12527,Ashton,Jeanty,RB,Active,LV
10225,Jonathan,Mingo,WR,Active,DAL
12470,Riley,Leonard,QB,Active,IND
12473,Mitchell,Evans,TE,Active,CAR
ATL,Atlanta,Falcons,DEF,,ATL
10219,Chris,Rodriguez,RB,Active,WAS
4983,DJ,Moore,WR,Active,CHI
5022,Dallas,Goedert,TE,Active,PHI
12849,Traeshon,Holden,WR,Active,DAL
CAR,Carolina,Panthers,DEF,,CAR
7436,Mason,Kinsey,WR,Active,TEN
1689,Adam,Thielen,WR,Active,MIN
11082,Ben,Sims,TE,Active,MIN
8755,Kaden,Davis,WR,Active,CLE
12495,Ollie,Gordon,RB,Active,MIA
4602,Robert,Tonyan,TE,Active,KC
4189,Eric,Saubert,TE,Active,SEA
5133,Tyler,Conklin,TE,Active,LAC
8221,Keaontay,Ingram,RB,Inactive,KC
8917,KaVontae,Turpin,WR,Active,DAL
11655,Tyrone,Tracy,RB,Active,NYG
12775,Max,Brosmer,QB,Active,MIN
12901,Patrick,Herbert,TE,Active,JAX
2374,Tyler,Lockett,WR,Active,LV
6957,James,Proche,WR,Active,TEN
3357,Brandon,Allen,QB,Active,TEN
10229,Rashee,Rice,WR,Active,KC
3050,Myles,White,WR,Active,NYJ
12776,Connor,Bazelak,QB,Active,TB
JAX,Jacksonville,Jaguars,DEF,,JAX
9226,De'Von,Achane,RB,Active,MIA
9494,Marvin,Mims,WR,Active,DEN
11559,Michael,Penix,QB,Active,ATL
4993,Mike,Gesicki,TE,Inactive,CIN
LAR,Los Angeles,Rams,DEF,,LAR
12928,Amar,Johnson,RB,Active,LAC
12113,Thomas,Yassmin,TE,Active,LAC
11627,Troy,Franklin,WR,Active,DEN
5955,Hunter,Renfrow,WR,Active,CAR
1592,Darren,Fells,TE,Active,TB
3868,Jalen,Richard,RB,Active,LV
13151,Nick,Kallerup,TE,Active,SEA
11654,Dante,Miller,RB,Active,NYG
6869,Adam,Trautman,TE,Active,DEN
9509,Bijan,Robinson,RB,Active,ATL
7525,DeVonta,Smith,WR,Active,PHI
12530,Travis,Hunter,WR,Active,JAX
11292,Tommy,DeVito,QB,Active,NE
12476,Devin,Neal,RB,Active,NO
12511,Will,Howard,QB,Inactive,PIT
8002,Shane,Buechele,QB,Active,BUF
8207,Tyler,Goodson,RB,Active,IND
12490,Bhayshul,Tuten,RB,Active,JAX
1945,Chris,Boswell,K,Active,PIT
12478,Nick,Nash,WR,Active,ATL
12457,Jaydon,Blue,RB,Active,DAL
