Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,Division,DivisionName,Wins,Losses,PointsFor,PointsAgainst
2021,644097339790827520,NCAA OHIO VALLEY,2,601198801197260800,LMarkiewicz04,2,Southern,3,8,1161.62,1346.46
2021,644097339790827520,NCAA OHIO VALLEY,3,468944645166985216,srcav,2,Southern,9,2,1745.02,1375.36
2021,644097339790827520,NCAA OHIO VALLEY,4,472879969664495616,ethansherwood22,2,Southern,9,2,1692.74,1447.34
2021,644097339790827520,NCAA OHIO VALLEY,5,474662041341128704,Dreev,1,Yankee,4,7,1392.7,1389.44
2021,644097339790827520,NCAA OHIO VALLEY,6,331558449374593024,leathershoe4,2,Southern,6,5,1468.08,1501.02
2021,644097339790827520,NCAA OHIO VALLEY,7,635700695584043008,charlielol,1,Yankee,5,6,1477.1,1486.0
2021,644097339790827520,NCAA OHIO VALLEY,8,69768813763510272,ThongBonerstorm,1,Yankee,4,7,1435.36,1650.84
2021,644097339790827520,NCAA OHIO VALLEY,9,347683464398749696,ducttapeit,1,Yankee,7,4,1432.26,1349.88
2021,644097339790827520,NCAA OHIO VALLEY,10,594242128851296256,kevinedge,1,Yankee,3,8,1304.1,1634.28
2021,644097339790827520,NCAA OHIO VALLEY,11,638193564806897664,Romantryert,1,Yankee,7,4,1544.32,1453.3
2021,644097339790827520,NCAA OHIO VALLEY,12,327689364916146176,McNaga,2,Southern,6,5,1547.38,1426.8
2022,787469647648763904,NCAA MOUNTAIN WEST,1,596835723861082112,RicochetRay,1,SAINT,10,1,1756.02,1446.08
2022,787469647648763904,NCAA MOUNTAIN WEST,2,463106510101147648,jmdorsey00,2,SIN,5,6,1434.14,1377.94
2022,787469647648763904,NCAA MOUNTAIN WEST,3,560626155833876480,HonoredMexican,1,SAINT,8,3,1476.08,1290.4
2022,787469647648763904,NCAA MOUNTAIN WEST,4,571767410708901888,Kyvend01,2,SIN,7,4,1639.98,1398.18
2022,787469647648763904,NCAA MOUNTAIN WEST,5,757350771300880384,Thomash2442,1,SAINT,5,6,1401.8,1444.44
2022,787469647648763904,NCAA MOUNTAIN WEST,6,482448684026425344,Avery33,2,SIN,2,9,1268.38,1458.34
2022,787469647648763904,NCAA MOUNTAIN WEST,7,467489585379667968,loganhall17,1,SAINT,2,9,1125.84,1469.66
2022,787469647648763904,NCAA MOUNTAIN WEST,8,325726913966395392,bkoldham,2,SIN,7,4,1453.64,1434.46
2022,787469647648763904,NCAA MOUNTAIN WEST,9,589001974318403584,Mrhawke19,1,SAINT,6,5,1481.44,1539.96
2022,787469647648763904,NCAA MOUNTAIN WEST,10,814354227357908992,Twistedmentat,2,SIN,4,7,1209.04,1299.96
2022,787469647648763904,NCAA MOUNTAIN WEST,11,,Unknown,1,SAINT,5,6,1331.14,1386.86
2022,787469647648763904,NCAA MOUNTAIN WEST,12,444590065046253568,reedymang,2,SIN,5,6,1462.66,1493.88
2022,787469620847190016,NCAA BIG EAST & CO.,1,746553377818841088,DELETED-boW6VP286Lk3,2,NORTHEAST,8,3,1389.68,1323.48
2022,787469620847190016,NCAA BIG EAST & CO.,2,389656085486649344,UrTrash,2,NORTHEAST,4,7,1366.28,1417.64
2022,787469620847190016,NCAA BIG EAST & CO.,3,333005257409847296,ikemendel,1,MIDEAST,4,7,1245.68,1445.56
2022,787469620847190016,NCAA BIG EAST & CO.,4,456129190995947520,vinceA762,1,MIDEAST,5,6,1271.84,1294.22
2022,787469620847190016,NCAA BIG EAST & CO.,5,836025225756934144,ngregg38,2,NORTHEAST,0,11,969.74,1426.9
2022,787469620847190016,NCAA BIG EAST & CO.,6,443323427143544832,joonbug,1,MIDEAST,6,5,1479.06,1358.18
2022,787469620847190016,NCAA BIG EAST & CO.,7,456159345906806784,CodeKhaos,2,NORTHEAST,8,3,1683.06,1435.34
