Year,LeagueID,LeagueName,Week,TransactionID,Type,RosterIDs,OwnerIDs,Picks,Adds,Drops,Status,Created
2021,652823294856224768,NCAA PAC 12,1,735273167060320256,free_agent,[2],['709857172258881536'],[],,{'676': 2},complete,1629665293043
2021,652823294856224768,NCAA PAC 12,1,735272086012055552,free_agent,[2],['709857172258881536'],[],{'7586': 2},{'490': 2},complete,1629665035301
2021,652823294856224768,NCAA PAC 12,1,735271873981571072,free_agent,[2],['709857172258881536'],[],{'7670': 2},,complete,1629664984749
2021,652823294856224768,NCAA PAC 12,1,735271825046646784,free_agent,[2],['709857172258881536'],[],{'7568': 2},,complete,1629664973082
2021,652823294856224768,NCAA PAC 12,1,735271753886072832,free_agent,[2],['709857172258881536'],[],{'7600': 2},,complete,1629664956116
2021,652823294856224768,NCAA PAC 12,1,735271683539185664,free_agent,[2],['709857172258881536'],[],{'7543': 2},,complete,1629664939344
2021,652823294856224768,NCAA PAC 12,1,735271651033350144,free_agent,[2],['709857172258881536'],[],{'7591': 2},,complete,1629664931594
2021,652823294856224768,NCAA PAC 12,1,735271082176716800,free_agent,[4],['477666723663704064'],[],{'7581': 4},,complete,1629664795968
2021,652823294856224768,NCAA PAC 12,1,735271020935622656,free_agent,[4],['477666723663704064'],[],,{'4080': 4},complete,1629664781368
2021,652823294856224768,NCAA PAC 12,1,735270862114152448,free_agent,[4],['477666723663704064'],[],{'7596': 4},,complete,1629664743501
2021,652823294856224768,NCAA PAC 12,1,735270792505470976,free_agent,[4],['477666723663704064'],[],{'7538': 4},,complete,1629664726905
2021,652823294856224768,NCAA PAC 12,1,735270729326682112,free_agent,[4],['477666723663704064'],[],,{'5137': 4},complete,1629664711842
2021,652823294856224768,NCAA PAC 12,1,735270680639205376,free_agent,[4],['477666723663704064'],[],{'7523': 4},,complete,1629664700234
2021,652823294856224768,NCAA PAC 12,1,735270643473481728,free_agent,[4],['477666723663704064'],[],,{'5133': 4},complete,1629664691373
2021,652823294856224768,NCAA PAC 12,1,735245750350520320,free_agent,[7],['597246797479469056'],[],{'7828': 7},,complete,1629658756390
2021,652823294856224768,NCAA PAC 12,1,735245640463953920,free_agent,[7],['597246797479469056'],[],,{'4995': 7},complete,1629658730191
2021,652823294856224768,NCAA PAC 12,1,735245102133448704,free_agent,[7],['597246797479469056'],[],{'7537': 7},,complete,1629658601843
2021,652823294856224768,NCAA PAC 12,1,735245075084353536,free_agent,[7],['597246797479469056'],[],{'7561': 7},,complete,1629658595394
2021,652823294856224768,NCAA PAC 12,1,735244924261371904,free_agent,[7],['597246797479469056'],[],,{'6913': 7},complete,1629658559436
2021,652823294856224768,NCAA PAC 12,1,735244851314036736,free_agent,[7],['597246797479469056'],[],,{'7086': 7},complete,1629658542043
2021,652823294856224768,NCAA PAC 12,1,735233939312128000,free_agent,[3],['470320542868566016'],[],{'7540': 3},{'650': 3},complete,1629655940419
2021,652823294856224768,NCAA PAC 12,1,735233747514941440,free_agent,[6],['338823136923381760'],[],{'7599': 6},,complete,1629655894691
2021,652823294856224768,NCAA PAC 12,1,735233701440524288,free_agent,[7],['597246797479469056'],[],{'7608': 7},,complete,1629655883706
2021,652823294856224768,NCAA PAC 12,1,735233678501883904,free_agent,[6],['338823136923381760'],[],{'7605': 6},,complete,1629655878237
2021,652823294856224768,NCAA PAC 12,1,735233619706118144,free_agent,[3],['470320542868566016'],[],{'7694': 3},{'788': 3},complete,1629655864219
2021,652823294856224768,NCAA PAC 12,1,735233601767120896,free_agent,[7],['597246797479469056'],[],{'7601': 7},,complete,1629655859942
2021,652823294856224768,NCAA PAC 12,1,735233573166170112,free_agent,[6],['338823136923381760'],[],{'7565': 6},,complete,1629655853123
2021,652823294856224768,NCAA PAC 12,1,735233547379535872,free_agent,[6],['338823136923381760'],[],{'7607': 6},,complete,1629655846975
2021,652823294856224768,NCAA PAC 12,1,735233524558348288,free_agent,[7],['597246797479469056'],[],,{'4252': 7},complete,1629655841534
2021,652823294856224768,NCAA PAC 12,1,735233516652089344,free_agent,[3],['470320542868566016'],[],{'7594': 3},,complete,1629655839649
2021,652823294856224768,NCAA PAC 12,1,735233510687805440,free_agent,[9],['519390092788297728'],[],{'5432': 9},{'3634': 9},complete,1629655838227
2021,652823294856224768,NCAA PAC 12,1,735233472280535040,free_agent,[6],['338823136923381760'],[],,{'3909': 6},complete,1629655829070
2021,652823294856224768,NCAA PAC 12,1,735233335932112896,free_agent,[7],['597246797479469056'],[],,{'5432': 7},complete,1629655796562
2021,652823294856224768,NCAA PAC 12,1,735233335688839168,free_agent,[3],['470320542868566016'],[],{'7567': 3},,complete,1629655796504
2021,652823294856224768,NCAA PAC 12,1,735233106012966912,free_agent,[6],['338823136923381760'],[],,{'6866': 6},complete,1629655741745
2021,652823294856224768,NCAA PAC 12,1,735233012224126976,free_agent,[6],['338823136923381760'],[],,{'1555': 6},complete,1629655719384
2021,652823294856224768,NCAA PAC 12,1,735232946612625408,free_agent,[12],['450806182555152384'],[],{'7547': 12},{'58': 12},complete,1629655703741
2021,652823294856224768,NCAA PAC 12,1,735232941600403456,free_agent,[6],['338823136923381760'],[],,{'5094': 6},complete,1629655702547
2021,652823294856224768,NCAA PAC 12,1,735232775040385024,free_agent,[12],['450806182555152384'],[],{'7527': 12},{'331': 12},complete,1629655662835
2021,652823294856224768,NCAA PAC 12,1,735232677258575872,free_agent,[12],['450806182555152384'],[],{'7587': 12},,complete,1629655639522
2021,652823294856224768,NCAA PAC 12,1,735232506613358592,free_agent,[7],['597246797479469056'],[],{'7593': 7},,complete,1629655598837
2021,652823294856224768,NCAA PAC 12,1,735232441144430592,free_agent,[7],['597246797479469056'],[],{'7610': 7},,complete,1629655583228
2021,652823294856224768,NCAA PAC 12,1,735232370441052160,free_agent,[7],['597246797479469056'],[],{'7526': 7},,complete,1629655566371
2021,652823294856224768,NCAA PAC 12,1,735232302648578048,free_agent,[7],['597246797479469056'],[],{'7525': 7},,complete,1629655550208
2021,652823294856224768,NCAA PAC 12,1,735232253139009536,free_agent,[7],['597246797479469056'],[],{'7564': 7},,complete,1629655538404
2021,652823294856224768,NCAA PAC 12,1,735232206137597952,free_agent,[7],['597246797479469056'],[],{'7553': 7},,complete,1629655527198
2021,652823294856224768,NCAA PAC 12,1,735232174042796032,free_agent,[7],['597246797479469056'],[],{'7528': 7},,complete,1629655519546
2021,652823294856224768,NCAA PAC 12,1,735232143919345664,free_agent,[9],['519390092788297728'],[],{'7572': 9},,complete,1629655512364
2021,652823294856224768,NCAA PAC 12,1,735231282338000896,free_agent,[7],['597246797479469056'],[],,{'5886': 7},complete,1629655306947
2021,652823294856224768,NCAA PAC 12,1,735230913360834560,free_agent,[7],['597246797479469056'],[],,{'7085': 7},complete,1629655218976
2021,652823294856224768,NCAA PAC 12,1,735230778824376320,free_agent,[7],['597246797479469056'],[],,{'5884': 7},complete,1629655186900
2021,652823294856224768,NCAA PAC 12,1,735230299671273472,free_agent,[7],['597246797479469056'],[],,{'6957': 7},complete,1629655072661
2021,652823294856224768,NCAA PAC 12,1,735230061187284992,free_agent,[7],['597246797479469056'],[],,{'7109': 7},complete,1629655015802
2021,652823294856224768,NCAA PAC 12,1,735229882388377600,free_agent,[7],['597246797479469056'],[],,{'7407': 7},complete,1629654973173
2021,652823294856224768,NCAA PAC 12,1,734550999758417920,free_agent,[11],['76460245878456320'],[],{'3827': 11},{'3300': 11},complete,1629493114941
2021,652823294856224768,NCAA PAC 12,1,733845104409890816,free_agent,[8],['449317906098941952'],[],{'7002': 8},{'3204': 8},complete,1629324816375
2021,652823294856224768,NCAA PAC 12,1,733844737580224512,free_agent,[2],['709857172258881536'],[],{'2312': 2},,complete,1629324728916
2021,652823294856224768,NCAA PAC 12,1,733837477957222400,free_agent,[2],['709857172258881536'],[],,{'1854': 2},complete,1629322998087
2021,652823294856224768,NCAA PAC 12,1,733837373934280704,free_agent,[2],['709857172258881536'],[],,{'3827': 2},complete,1629322973286
2021,652823294856224768,NCAA PAC 12,1,733836682054488064,free_agent,[2],['709857172258881536'],[],,{'6164': 2},complete,1629322808329
2021,652823294856224768,NCAA PAC 12,1,733736292839469056,free_agent,[1],['437465313911500800'],[],{'1408': 1},{'3895': 1},complete,1629298873675
2021,652823294856224768,NCAA PAC 12,1,733731953970425856,trade,"[1, 3]","['437465313911500800', '470320542868566016']","[{'round': 3, 'season': '2022', 'league_id': None, 'roster_id': 1, 'owner_id': 3, 'previous_owner_id': 1}, {'round': 1, 'season': '2023', 'league_id': None, 'roster_id': 1, 'owner_id': 3, 'previous_owner_id': 1}, {'round': 2, 'season': '2023', 'league_id': None, 'roster_id': 1, 'owner_id': 3, 'previous_owner_id': 1}, {'round': 3, 'season': '2021', 'league_id': None, 'roster_id': 8, 'owner_id': 3, 'previous_owner_id': 1}]","{'3294': 1, '6955': 3}","{'3294': 3, '6955': 1}",complete,1629297839208
2021,652823294856224768,NCAA PAC 12,1,733383348080230400,trade,"[3, 7]","['470320542868566016', '597246797479469056']","[{'round': 1, 'season': '2022', 'league_id': None, 'roster_id': 7, 'owner_id': 3, 'previous_owner_id': 7}, {'round': 1, 'season': '2023', 'league_id': None, 'roster_id': 7, 'owner_id': 3, 'previous_owner_id': 7}]","{'1466': 7, '5857': 3}","{'1466': 3, '5857': 7}",complete,1629214725087
2021,652823294856224768,NCAA PAC 12,1,732436506228146176,free_agent,[6],['338823136923381760'],[],{'6984': 6},,complete,1628988980398
