LeagueYear,league_id,weekNum,roster_id,lookupID,starter,starter_points,array_index,label
2021,6.44097e+17,5,1,6.44097e+18,5001,13.9,7,"Dalton Schultz, TE (HOU)"
2021,6.44097e+17,5,1,6.44097e+18,5859,6.8,8,"A.J. Brown, WR (PHI)"
2021,6.44097e+17,5,1,6.44097e+18,7526,5.3,9,"Jaylen Waddle, WR (MIA)"
2021,6.44097e+17,5,1,6.44097e+18,5119,5.0,10,"Jason Sanders, K (MIA)"
2021,6.44097e+17,5,1,6.44097e+18,BAL,7.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,6,1,6.44097e+18,3294,26.8,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,6,1,6.44097e+18,4199,21.0,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,6,1,6.44097e+18,6955,19.1,3,
2021,6.44097e+17,6,1,6.44097e+18,1992,9.3,4,
2021,6.44097e+17,6,1,6.44097e+18,1352,11.1,5,
2021,6.44097e+17,6,1,6.44097e+18,2374,5.5,6,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,6,1,6.44097e+18,5001,12.9,7,"Dalton Schultz, TE (HOU)"
2021,6.44097e+17,6,1,6.44097e+18,5859,16.1,8,"A.J. Brown, WR (PHI)"
2021,6.44097e+17,6,1,6.44097e+18,7526,29.0,9,"Jaylen Waddle, WR (MIA)"
2021,6.44097e+17,6,1,6.44097e+18,5119,7.0,10,"Jason Sanders, K (MIA)"
2021,6.44097e+17,6,1,6.44097e+18,BAL,11.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,7,1,6.44097e+18,1049,20.4,1,
2021,6.44097e+17,7,1,6.44097e+18,4199,8.9,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,7,1,6.44097e+18,3664,9.6,3,
2021,6.44097e+17,7,1,6.44097e+18,5859,27.3,4,"A.J. Brown, WR (PHI)"
2021,6.44097e+17,7,1,6.44097e+18,1352,15.0,5,
2021,6.44097e+17,7,1,6.44097e+18,2374,3.2,6,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,7,1,6.44097e+18,4144,7.7,7,"Jonnu Smith, TE (PIT)"
2021,6.44097e+17,7,1,6.44097e+18,7526,15.3,8,"Jaylen Waddle, WR (MIA)"
2021,6.44097e+17,7,1,6.44097e+18,830,9.6,9,
2021,6.44097e+17,7,1,6.44097e+18,5119,3.0,10,"Jason Sanders, K (MIA)"
2021,6.44097e+17,7,1,6.44097e+18,BAL,0.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,8,1,6.44097e+18,3294,0.0,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,8,1,6.44097e+18,4199,24.0,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,8,1,6.44097e+18,6955,4.9,3,
2021,6.44097e+17,8,1,6.44097e+18,5859,31.5,4,"A.J. Brown, WR (PHI)"
2021,6.44097e+17,8,1,6.44097e+18,1352,20.7,5,
2021,6.44097e+17,8,1,6.44097e+18,2374,26.2,6,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,8,1,6.44097e+18,5001,3.1,7,"Dalton Schultz, TE (HOU)"
2021,6.44097e+17,8,1,6.44097e+18,7526,6.9,8,"Jaylen Waddle, WR (MIA)"
2021,6.44097e+17,8,1,6.44097e+18,830,10.0,9,
2021,6.44097e+17,8,1,6.44097e+18,5119,4.0,10,"Jason Sanders, K (MIA)"
2021,6.44097e+17,8,1,6.44097e+18,BAL,0.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,9,1,6.44097e+18,3294,19.88,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,9,1,6.44097e+18,4199,5.3,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,9,1,6.44097e+18,6955,0.0,3,
2021,6.44097e+17,9,1,6.44097e+18,5859,9.2,4,"A.J. Brown, WR (PHI)"
2021,6.44097e+17,9,1,6.44097e+18,1352,17.4,5,
2021,6.44097e+17,9,1,6.44097e+18,1144,11.3,6,
2021,6.44097e+17,9,1,6.44097e+18,5001,9.4,7,"Dalton Schultz, TE (HOU)"
2021,6.44097e+17,9,1,6.44097e+18,7526,16.3,8,"Jaylen Waddle, WR (MIA)"
2021,6.44097e+17,9,1,6.44097e+18,1992,10.8,9,
2021,6.44097e+17,9,1,6.44097e+18,5119,6.0,10,"Jason Sanders, K (MIA)"
2021,6.44097e+17,9,1,6.44097e+18,BAL,-1.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,1,10,6.44097e+19,4046,33.28,1,"Patrick Mahomes, QB (KC)"
2021,6.44097e+17,1,10,6.44097e+19,6130,9.0,2,"Devin Singletary, RB (NYG)"
2021,6.44097e+17,1,10,6.44097e+19,5980,12.6,3,"Myles Gaskin, RB (SEA)"
2021,6.44097e+17,1,10,6.44097e+19,5848,19.4,4,"Hollywood Brown, WR (KC)"
2021,6.44097e+17,1,10,6.44097e+19,7565,5.6,5,"Terrace Marshall, WR (PHI)"
2021,6.44097e+17,1,10,6.44097e+19,5937,14.6,6,
2021,6.44097e+17,1,10,6.44097e+19,5857,12.2,7,"Noah Fant, TE (CIN)"
2021,6.44097e+17,1,10,6.44097e+19,6849,5.0,8,
2021,6.44097e+17,1,10,6.44097e+19,5110,0.0,9,"Russell Gage, WR (SF)"
2021,6.44097e+17,1,10,6.44097e+19,6219,5.0,10,
2021,6.44097e+17,1,10,6.44097e+19,KC,7.0,11,"Kansas City Chiefs, DEF (KC)"
2021,6.44097e+17,10,10,6.44097e+19,4046,36.24,1,"Patrick Mahomes, QB (KC)"
2021,6.44097e+17,10,10,6.44097e+19,7561,9.1,2,"Elijah Mitchell, RB (KC)"
2021,6.44097e+17,10,10,6.44097e+19,5967,15.8,3,"Tony Pollard, RB (TEN)"
2021,6.44097e+17,10,10,6.44097e+19,3297,1.0,4,
2021,6.44097e+17,10,10,6.44097e+19,5110,0.0,5,"Russell Gage, WR (SF)"
2021,6.44097e+17,10,10,6.44097e+19,5848,8.7,6,"Hollywood Brown, WR (KC)"
2021,6.44097e+17,10,10,6.44097e+19,4741,13.7,7,
2021,6.44097e+17,10,10,6.44097e+19,5980,5.5,8,"Myles Gaskin, RB (SEA)"
2021,6.44097e+17,10,10,6.44097e+19,5850,8.6,9,"Josh Jacobs, RB (GB)"
2021,6.44097e+17,10,10,6.44097e+19,650,9.0,10,"Nick Folk, K (NYJ)"
2021,6.44097e+17,10,10,6.44097e+19,KC,8.0,11,"Kansas City Chiefs, DEF (KC)"
2021,6.44097e+17,11,10,6.44097e+19,4046,7.5,1,"Patrick Mahomes, QB (KC)"
2021,6.44097e+17,11,10,6.44097e+19,5850,11.1,2,"Josh Jacobs, RB (GB)"
2021,6.44097e+17,11,10,6.44097e+19,5967,9.0,3,"Tony Pollard, RB (TEN)"
2021,6.44097e+17,11,10,6.44097e+19,3297,4.1,4,
2021,6.44097e+17,11,10,6.44097e+19,5110,9.9,5,"Russell Gage, WR (SF)"
2021,6.44097e+17,11,10,6.44097e+19,6943,4.7,6,"Gabe Davis, WR (BUF)"
2021,6.44097e+17,11,10,6.44097e+19,4741,0.0,7,
2021,6.44097e+17,11,10,6.44097e+19,5980,18.6,8,"Myles Gaskin, RB (SEA)"
2021,6.44097e+17,11,10,6.44097e+19,6130,7.3,9,"Devin Singletary, RB (NYG)"
2021,6.44097e+17,11,10,6.44097e+19,650,15.0,10,"Nick Folk, K (NYJ)"
2021,6.44097e+17,11,10,6.44097e+19,TEN,0.0,11,"Tennessee Titans, DEF (TEN)"
2021,6.44097e+17,12,10,6.44097e+19,2711,12.22,1,
2021,6.44097e+17,12,10,6.44097e+19,5850,19.2,2,"Josh Jacobs, RB (GB)"
2021,6.44097e+17,12,10,6.44097e+19,5967,16.8,3,"Tony Pollard, RB (TEN)"
2021,6.44097e+17,12,10,6.44097e+19,5848,13.1,4,"Hollywood Brown, WR (KC)"
2021,6.44097e+17,12,10,6.44097e+19,5110,18.2,5,"Russell Gage, WR (SF)"
2021,6.44097e+17,12,10,6.44097e+19,4080,11.3,6,"Zay Jones, WR (ARI)"
2021,6.44097e+17,12,10,6.44097e+19,5857,4.2,7,"Noah Fant, TE (CIN)"
2021,6.44097e+17,12,10,6.44097e+19,7561,27.8,8,"Elijah Mitchell, RB (KC)"
2021,6.44097e+17,12,10,6.44097e+19,6130,5.8,9,"Devin Singletary, RB (NYG)"
2021,6.44097e+17,12,10,6.44097e+19,650,20.0,10,"Nick Folk, K (NYJ)"
2021,6.44097e+17,12,10,6.44097e+19,TEN,-2.0,11,"Tennessee Titans, DEF (TEN)"
2021,6.44097e+17,13,10,6.44097e+19,4046,13.56,1,"Patrick Mahomes, QB (KC)"
2021,6.44097e+17,13,10,6.44097e+19,5850,24.0,2,"Josh Jacobs, RB (GB)"
2021,6.44097e+17,13,10,6.44097e+19,5967,15.4,3,"Tony Pollard, RB (TEN)"
2021,6.44097e+17,13,10,6.44097e+19,5848,10.5,4,"Hollywood Brown, WR (KC)"
2021,6.44097e+17,13,10,6.44097e+19,5110,21.0,5,"Russell Gage, WR (SF)"
2021,6.44097e+17,13,10,6.44097e+19,4171,10.9,6,"Josh Reynolds, WR (NYJ)"
2021,6.44097e+17,13,10,6.44097e+19,5857,7.3,7,"Noah Fant, TE (CIN)"
2021,6.44097e+17,13,10,6.44097e+19,7561,17.4,8,"Elijah Mitchell, RB (KC)"
2021,6.44097e+17,13,10,6.44097e+19,5980,6.9,9,"Myles Gaskin, RB (SEA)"
2021,6.44097e+17,13,10,6.44097e+19,650,7.0,10,"Nick Folk, K (NYJ)"
2021,6.44097e+17,13,10,6.44097e+19,KC,17.0,11,"Kansas City Chiefs, DEF (KC)"
2021,6.44097e+17,14,10,6.44097e+19,4046,19.32,1,"Patrick Mahomes, QB (KC)"
2021,6.44097e+17,14,10,6.44097e+19,5850,9.0,2,"Josh Jacobs, RB (GB)"
2021,6.44097e+17,14,10,6.44097e+19,5967,0.0,3,"Tony Pollard, RB (TEN)"
2021,6.44097e+17,14,10,6.44097e+19,5848,9.1,4,"Hollywood Brown, WR (KC)"
2021,6.44097e+17,14,10,6.44097e+19,5110,10.4,5,"Russell Gage, WR (SF)"
2021,6.44097e+17,14,10,6.44097e+19,4171,8.2,6,"Josh Reynolds, WR (NYJ)"
2021,6.44097e+17,14,10,6.44097e+19,5857,9.1,7,"Noah Fant, TE (CIN)"
2021,6.44097e+17,14,10,6.44097e+19,7561,0.0,8,"Elijah Mitchell, RB (KC)"
2021,6.44097e+17,14,10,6.44097e+19,6012,0.0,9,"Travis Homer, RB (CHI)"
2021,6.44097e+17,14,10,6.44097e+19,4233,3.0,10,
2021,6.44097e+17,14,10,6.44097e+19,KC,28.0,11,"Kansas City Chiefs, DEF (KC)"
2021,6.44097e+17,15,10,6.44097e+19,4046,29.6,1,"Patrick Mahomes, QB (KC)"
2021,6.44097e+17,15,10,6.44097e+19,5850,12.4,2,"Josh Jacobs, RB (GB)"
2021,6.44097e+17,15,10,6.44097e+19,5967,10.7,3,"Tony Pollard, RB (TEN)"
2021,6.44097e+17,15,10,6.44097e+19,5848,14.3,4,"Hollywood Brown, WR (KC)"
2021,6.44097e+17,15,10,6.44097e+19,5110,23.1,5,"Russell Gage, WR (SF)"
2021,6.44097e+17,15,10,6.44097e+19,4171,18.8,6,"Josh Reynolds, WR (NYJ)"
2021,6.44097e+17,15,10,6.44097e+19,5857,10.7,7,"Noah Fant, TE (CIN)"
2021,6.44097e+17,15,10,6.44097e+19,7561,0.0,8,"Elijah Mitchell, RB (KC)"
2021,6.44097e+17,15,10,6.44097e+19,6012,0.0,9,"Travis Homer, RB (CHI)"
2021,6.44097e+17,15,10,6.44097e+19,4233,0.0,10,
2021,6.44097e+17,15,10,6.44097e+19,KC,4.0,11,"Kansas City Chiefs, DEF (KC)"
2021,6.44097e+17,16,10,6.44097e+19,4046,21.32,1,"Patrick Mahomes, QB (KC)"
2021,6.44097e+17,16,10,6.44097e+19,5850,10.4,2,"Josh Jacobs, RB (GB)"
2021,6.44097e+17,16,10,6.44097e+19,5967,7.0,3,"Tony Pollard, RB (TEN)"
2021,6.44097e+17,16,10,6.44097e+19,5848,9.4,4,"Hollywood Brown, WR (KC)"
2021,6.44097e+17,16,10,6.44097e+19,5110,4.9,5,"Russell Gage, WR (SF)"
2021,6.44097e+17,16,10,6.44097e+19,4171,5.6,6,"Josh Reynolds, WR (NYJ)"
2021,6.44097e+17,16,10,6.44097e+19,5857,6.0,7,"Noah Fant, TE (CIN)"
2021,6.44097e+17,16,10,6.44097e+19,5980,2.6,8,"Myles Gaskin, RB (SEA)"
2021,6.44097e+17,16,10,6.44097e+19,6943,0.0,9,"Gabe Davis, WR (BUF)"
2021,6.44097e+17,16,10,6.44097e+19,650,3.0,10,"Nick Folk, K (NYJ)"
2021,6.44097e+17,16,10,6.44097e+19,KC,13.0,11,"Kansas City Chiefs, DEF (KC)"
2021,6.44097e+17,17,10,6.44097e+19,4046,20.86,1,"Patrick Mahomes, QB (KC)"
2021,6.44097e+17,17,10,6.44097e+19,5850,18.0,2,"Josh Jacobs, RB (GB)"
2021,6.44097e+17,17,10,6.44097e+19,5967,8.8,3,"Tony Pollard, RB (TEN)"
2021,6.44097e+17,17,10,6.44097e+19,5848,2.8,4,"Hollywood Brown, WR (KC)"
2021,6.44097e+17,17,10,6.44097e+19,5110,8.0,5,"Russell Gage, WR (SF)"
2021,6.44097e+17,17,10,6.44097e+19,4171,0.0,6,"Josh Reynolds, WR (NYJ)"
2021,6.44097e+17,17,10,6.44097e+19,5857,21.2,7,"Noah Fant, TE (CIN)"
2021,6.44097e+17,17,10,6.44097e+19,5980,2.3,8,"Myles Gaskin, RB (SEA)"
2021,6.44097e+17,17,10,6.44097e+19,6943,7.0,9,"Gabe Davis, WR (BUF)"
2021,6.44097e+17,17,10,6.44097e+19,650,8.0,10,"Nick Folk, K (NYJ)"
